
** get_Rfile_ascii_table_params: lline: 23
** get_Rfile_ascii_table_params: number of columns: 11 from header line:
['iteration', 'logPost', 'stepSize', 'cycleSpinRow', 'cycleSpinCol', 'smoothingParam0', 'smoothingParam1', 'smoothingParam2', 'smoothingParam3', 'smoothingParam4', 'expectedMSCounts']
* image_in:  35  InMCMCParams[0:1][image_in]:  21.0 31.0

* image_in:  36  InMCMCParams[0:1][image_in]:  28.0 20.0

* image_in:  37  InMCMCParams[0:1][image_in]:  6.0 1.0

* image_in:  38  InMCMCParams[0:1][image_in]:  12.0 23.0

* image_in:  39  InMCMCParams[0:1][image_in]:  5.0 28.0

* image_in:  40  InMCMCParams[0:1][image_in]:  10.0 12.0

* image_in:  41  InMCMCParams[0:1][image_in]:  10.0 10.0

* image_in:  42  InMCMCParams[0:1][image_in]:  7.0 20.0

* image_in:  43  InMCMCParams[0:1][image_in]:  16.0 15.0

* image_in:  44  InMCMCParams[0:1][image_in]:  4.0 4.0

* image_in:  45  InMCMCParams[0:1][image_in]:  4.0 27.0

* image_in:  46  InMCMCParams[0:1][image_in]:  3.0 25.0

* image_in:  47  InMCMCParams[0:1][image_in]:  11.0 4.0

* image_in:  48  InMCMCParams[0:1][image_in]:  24.0 7.0

* image_in:  49  InMCMCParams[0:1][image_in]:  22.0 7.0

* image_in:  50  InMCMCParams[0:1][image_in]:  26.0 17.0

* image_in:  51  InMCMCParams[0:1][image_in]:  13.0 31.0

* image_in:  52  InMCMCParams[0:1][image_in]:  8.0 7.0

* image_in:  53  InMCMCParams[0:1][image_in]:  14.0 19.0

* image_in:  54  InMCMCParams[0:1][image_in]:  21.0 30.0

* image_in:  55  InMCMCParams[0:1][image_in]:  10.0 19.0

* image_in:  56  InMCMCParams[0:1][image_in]:  30.0 14.0

* image_in:  57  InMCMCParams[0:1][image_in]:  15.0 23.0

* image_in:  58  InMCMCParams[0:1][image_in]:  26.0 30.0

* image_in:  59  InMCMCParams[0:1][image_in]:  24.0 17.0

* image_in:  60  InMCMCParams[0:1][image_in]:  14.0 5.0

* image_in:  61  InMCMCParams[0:1][image_in]:  21.0 28.0

* image_in:  62  InMCMCParams[0:1][image_in]:  27.0 25.0

* image_in:  63  InMCMCParams[0:1][image_in]:  5.0 31.0

* image_in:  64  InMCMCParams[0:1][image_in]:  12.0 14.0

* image_in:  65  InMCMCParams[0:1][image_in]:  17.0 13.0

* image_in:  66  InMCMCParams[0:1][image_in]:  20.0 9.0

* image_in:  67  InMCMCParams[0:1][image_in]:  16.0 2.0

* image_in:  68  InMCMCParams[0:1][image_in]:  8.0 25.0

* image_in:  69  InMCMCParams[0:1][image_in]:  30.0 13.0

* image_in:  70  InMCMCParams[0:1][image_in]:  28.0 6.0

* image_in:  71  InMCMCParams[0:1][image_in]:  29.0 4.0

* image_in:  72  InMCMCParams[0:1][image_in]:  4.0 25.0

* image_in:  73  InMCMCParams[0:1][image_in]:  6.0 30.0

* image_in:  74  InMCMCParams[0:1][image_in]:  24.0 24.0

* image_in:  75  InMCMCParams[0:1][image_in]:  9.0 19.0

* image_in:  76  InMCMCParams[0:1][image_in]:  24.0 22.0

* image_in:  77  InMCMCParams[0:1][image_in]:  3.0 13.0

* image_in:  78  InMCMCParams[0:1][image_in]:  0.0 2.0

* image_in:  79  InMCMCParams[0:1][image_in]:  24.0 18.0

* image_in:  80  InMCMCParams[0:1][image_in]:  14.0 12.0

* image_in:  81  InMCMCParams[0:1][image_in]:  16.0 13.0

* image_in:  82  InMCMCParams[0:1][image_in]:  31.0 23.0

* image_in:  83  InMCMCParams[0:1][image_in]:  27.0 5.0

* image_in:  84  InMCMCParams[0:1][image_in]:  7.0 30.0

* image_in:  85  InMCMCParams[0:1][image_in]:  26.0 2.0

* image_in:  86  InMCMCParams[0:1][image_in]:  25.0 20.0

* image_in:  87  InMCMCParams[0:1][image_in]:  10.0 3.0

* image_in:  88  InMCMCParams[0:1][image_in]:  21.0 25.0

* image_in:  89  InMCMCParams[0:1][image_in]:  19.0 1.0

* image_in:  90  InMCMCParams[0:1][image_in]:  8.0 20.0

* image_in:  91  InMCMCParams[0:1][image_in]:  23.0 6.0

* image_in:  92  InMCMCParams[0:1][image_in]:  16.0 9.0

* image_in:  93  InMCMCParams[0:1][image_in]:  22.0 28.0

* image_in:  94  InMCMCParams[0:1][image_in]:  0.0 24.0

* image_in:  95  InMCMCParams[0:1][image_in]:  5.0 14.0

* image_in:  96  InMCMCParams[0:1][image_in]:  26.0 16.0

* image_in:  97  InMCMCParams[0:1][image_in]:  17.0 19.0

* image_in:  98  InMCMCParams[0:1][image_in]:  5.0 20.0

* image_in:  99  InMCMCParams[0:1][image_in]:  31.0 8.0

* image_in:  100  InMCMCParams[0:1][image_in]:  23.0 28.0

* image_in:  101  InMCMCParams[0:1][image_in]:  23.0 13.0

* image_in:  102  InMCMCParams[0:1][image_in]:  14.0 20.0

* image_in:  103  InMCMCParams[0:1][image_in]:  21.0 9.0

* image_in:  104  InMCMCParams[0:1][image_in]:  9.0 8.0

* image_in:  105  InMCMCParams[0:1][image_in]:  6.0 21.0

* image_in:  106  InMCMCParams[0:1][image_in]:  13.0 15.0

* image_in:  107  InMCMCParams[0:1][image_in]:  9.0 4.0

* image_in:  108  InMCMCParams[0:1][image_in]:  17.0 15.0

* image_in:  109  InMCMCParams[0:1][image_in]:  17.0 15.0

* image_in:  110  InMCMCParams[0:1][image_in]:  15.0 13.0

* image_in:  111  InMCMCParams[0:1][image_in]:  22.0 6.0

* image_in:  112  InMCMCParams[0:1][image_in]:  12.0 12.0

* image_in:  113  InMCMCParams[0:1][image_in]:  2.0 16.0

* image_in:  114  InMCMCParams[0:1][image_in]:  23.0 26.0

* image_in:  115  InMCMCParams[0:1][image_in]:  22.0 12.0

* image_in:  116  InMCMCParams[0:1][image_in]:  16.0 30.0

* image_in:  117  InMCMCParams[0:1][image_in]:  28.0 16.0

* image_in:  118  InMCMCParams[0:1][image_in]:  10.0 12.0

* image_in:  119  InMCMCParams[0:1][image_in]:  4.0 10.0

* image_in:  120  InMCMCParams[0:1][image_in]:  17.0 6.0

* image_in:  121  InMCMCParams[0:1][image_in]:  1.0 27.0

* image_in:  122  InMCMCParams[0:1][image_in]:  13.0 29.0

* image_in:  123  InMCMCParams[0:1][image_in]:  2.0 25.0

* image_in:  124  InMCMCParams[0:1][image_in]:  19.0 25.0

* image_in:  125  InMCMCParams[0:1][image_in]:  3.0 18.0

* image_in:  126  InMCMCParams[0:1][image_in]:  18.0 13.0

* image_in:  127  InMCMCParams[0:1][image_in]:  15.0 31.0

* image_in:  128  InMCMCParams[0:1][image_in]:  11.0 1.0

* image_in:  129  InMCMCParams[0:1][image_in]:  9.0 4.0

* image_in:  130  InMCMCParams[0:1][image_in]:  15.0 17.0

* image_in:  131  InMCMCParams[0:1][image_in]:  8.0 0.0

* image_in:  132  InMCMCParams[0:1][image_in]:  2.0 9.0

* image_in:  133  InMCMCParams[0:1][image_in]:  0.0 0.0

* image_in:  134  InMCMCParams[0:1][image_in]:  7.0 1.0

* image_in:  135  InMCMCParams[0:1][image_in]:  20.0 12.0

* image_in:  136  InMCMCParams[0:1][image_in]:  9.0 11.0

* image_in:  137  InMCMCParams[0:1][image_in]:  27.0 3.0

* image_in:  138  InMCMCParams[0:1][image_in]:  29.0 1.0

* image_in:  139  InMCMCParams[0:1][image_in]:  10.0 26.0

* image_in:  140  InMCMCParams[0:1][image_in]:  19.0 21.0

* image_in:  141  InMCMCParams[0:1][image_in]:  23.0 31.0

* image_in:  142  InMCMCParams[0:1][image_in]:  25.0 11.0

* image_in:  143  InMCMCParams[0:1][image_in]:  19.0 10.0

* image_in:  144  InMCMCParams[0:1][image_in]:  8.0 0.0

* image_in:  145  InMCMCParams[0:1][image_in]:  25.0 2.0

* image_in:  146  InMCMCParams[0:1][image_in]:  14.0 28.0

* image_in:  147  InMCMCParams[0:1][image_in]:  27.0 7.0

* image_in:  148  InMCMCParams[0:1][image_in]:  13.0 29.0

* image_in:  149  InMCMCParams[0:1][image_in]:  7.0 28.0

* image_in:  150  InMCMCParams[0:1][image_in]:  13.0 15.0

* image_in:  151  InMCMCParams[0:1][image_in]:  21.0 24.0

* image_in:  152  InMCMCParams[0:1][image_in]:  9.0 27.0

* image_in:  153  InMCMCParams[0:1][image_in]:  4.0 20.0

* image_in:  154  InMCMCParams[0:1][image_in]:  10.0 3.0

* image_in:  155  InMCMCParams[0:1][image_in]:  7.0 28.0

* image_in:  156  InMCMCParams[0:1][image_in]:  30.0 21.0

* image_in:  157  InMCMCParams[0:1][image_in]:  26.0 14.0

* image_in:  158  InMCMCParams[0:1][image_in]:  23.0 5.0

* image_in:  159  InMCMCParams[0:1][image_in]:  27.0 3.0

* image_in:  160  InMCMCParams[0:1][image_in]:  10.0 22.0

* image_in:  161  InMCMCParams[0:1][image_in]:  9.0 29.0

* image_in:  162  InMCMCParams[0:1][image_in]:  19.0 16.0

* image_in:  163  InMCMCParams[0:1][image_in]:  21.0 1.0

* image_in:  164  InMCMCParams[0:1][image_in]:  15.0 22.0

* image_in:  165  InMCMCParams[0:1][image_in]:  19.0 18.0

* image_in:  166  InMCMCParams[0:1][image_in]:  0.0 11.0

* image_in:  167  InMCMCParams[0:1][image_in]:  0.0 14.0

* image_in:  168  InMCMCParams[0:1][image_in]:  9.0 13.0

* image_in:  169  InMCMCParams[0:1][image_in]:  26.0 8.0

* image_in:  170  InMCMCParams[0:1][image_in]:  3.0 22.0

* image_in:  171  InMCMCParams[0:1][image_in]:  18.0 3.0

* image_in:  172  InMCMCParams[0:1][image_in]:  6.0 17.0

* image_in:  173  InMCMCParams[0:1][image_in]:  11.0 11.0

* image_in:  174  InMCMCParams[0:1][image_in]:  25.0 24.0

* image_in:  175  InMCMCParams[0:1][image_in]:  26.0 13.0

* image_in:  176  InMCMCParams[0:1][image_in]:  11.0 16.0

* image_in:  177  InMCMCParams[0:1][image_in]:  11.0 29.0

* image_in:  178  InMCMCParams[0:1][image_in]:  7.0 15.0

* image_in:  179  InMCMCParams[0:1][image_in]:  1.0 12.0

* image_in:  180  InMCMCParams[0:1][image_in]:  10.0 1.0

* image_in:  181  InMCMCParams[0:1][image_in]:  12.0 16.0

* image_in:  182  InMCMCParams[0:1][image_in]:  24.0 13.0

* image_in:  183  InMCMCParams[0:1][image_in]:  5.0 7.0

* image_in:  184  InMCMCParams[0:1][image_in]:  10.0 12.0

* image_in:  185  InMCMCParams[0:1][image_in]:  26.0 25.0

* image_in:  186  InMCMCParams[0:1][image_in]:  15.0 14.0

* image_in:  187  InMCMCParams[0:1][image_in]:  12.0 7.0

* image_in:  188  InMCMCParams[0:1][image_in]:  1.0 17.0

* image_in:  189  InMCMCParams[0:1][image_in]:  3.0 20.0

* image_in:  190  InMCMCParams[0:1][image_in]:  19.0 15.0

* image_in:  191  InMCMCParams[0:1][image_in]:  7.0 2.0

* image_in:  192  InMCMCParams[0:1][image_in]:  1.0 29.0

* image_in:  193  InMCMCParams[0:1][image_in]:  14.0 17.0

* image_in:  194  InMCMCParams[0:1][image_in]:  8.0 3.0

* image_in:  195  InMCMCParams[0:1][image_in]:  1.0 13.0

* image_in:  196  InMCMCParams[0:1][image_in]:  11.0 9.0

* image_in:  197  InMCMCParams[0:1][image_in]:  17.0 22.0

* image_in:  198  InMCMCParams[0:1][image_in]:  23.0 29.0

* image_in:  199  InMCMCParams[0:1][image_in]:  6.0 23.0

* image_in:  200  InMCMCParams[0:1][image_in]:  2.0 1.0

* image_in:  201  InMCMCParams[0:1][image_in]:  19.0 28.0

* image_in:  202  InMCMCParams[0:1][image_in]:  2.0 11.0

* image_in:  203  InMCMCParams[0:1][image_in]:  7.0 17.0

* image_in:  204  InMCMCParams[0:1][image_in]:  27.0 27.0

* image_in:  205  InMCMCParams[0:1][image_in]:  15.0 16.0

* image_in:  206  InMCMCParams[0:1][image_in]:  14.0 2.0

* image_in:  207  InMCMCParams[0:1][image_in]:  12.0 26.0

* image_in:  208  InMCMCParams[0:1][image_in]:  29.0 0.0

* image_in:  209  InMCMCParams[0:1][image_in]:  23.0 10.0

* image_in:  210  InMCMCParams[0:1][image_in]:  5.0 21.0

* image_in:  211  InMCMCParams[0:1][image_in]:  1.0 13.0

* image_in:  212  InMCMCParams[0:1][image_in]:  11.0 11.0

* image_in:  213  InMCMCParams[0:1][image_in]:  20.0 27.0

* image_in:  214  InMCMCParams[0:1][image_in]:  27.0 18.0

* image_in:  215  InMCMCParams[0:1][image_in]:  7.0 15.0

* image_in:  216  InMCMCParams[0:1][image_in]:  6.0 20.0

* image_in:  217  InMCMCParams[0:1][image_in]:  2.0 30.0

* image_in:  218  InMCMCParams[0:1][image_in]:  12.0 9.0

* image_in:  219  InMCMCParams[0:1][image_in]:  18.0 1.0

* image_in:  220  InMCMCParams[0:1][image_in]:  1.0 2.0

* image_in:  221  InMCMCParams[0:1][image_in]:  13.0 31.0

* image_in:  222  InMCMCParams[0:1][image_in]:  30.0 5.0

* image_in:  223  InMCMCParams[0:1][image_in]:  29.0 12.0

* image_in:  224  InMCMCParams[0:1][image_in]:  0.0 10.0

* image_in:  225  InMCMCParams[0:1][image_in]:  27.0 16.0

* image_in:  226  InMCMCParams[0:1][image_in]:  28.0 21.0

* image_in:  227  InMCMCParams[0:1][image_in]:  4.0 1.0

* image_in:  228  InMCMCParams[0:1][image_in]:  28.0 28.0

* image_in:  229  InMCMCParams[0:1][image_in]:  8.0 22.0

* image_in:  230  InMCMCParams[0:1][image_in]:  20.0 25.0

* image_in:  231  InMCMCParams[0:1][image_in]:  4.0 28.0

* image_in:  232  InMCMCParams[0:1][image_in]:  15.0 2.0

* image_in:  233  InMCMCParams[0:1][image_in]:  27.0 20.0

* image_in:  234  InMCMCParams[0:1][image_in]:  2.0 25.0

* image_in:  235  InMCMCParams[0:1][image_in]:  10.0 17.0

* image_in:  236  InMCMCParams[0:1][image_in]:  13.0 21.0

* image_in:  237  InMCMCParams[0:1][image_in]:  0.0 17.0

* image_in:  238  InMCMCParams[0:1][image_in]:  16.0 11.0

* image_in:  239  InMCMCParams[0:1][image_in]:  12.0 30.0

* image_in:  240  InMCMCParams[0:1][image_in]:  9.0 30.0

* image_in:  241  InMCMCParams[0:1][image_in]:  7.0 20.0

* image_in:  242  InMCMCParams[0:1][image_in]:  30.0 14.0

* image_in:  243  InMCMCParams[0:1][image_in]:  8.0 6.0

* image_in:  244  InMCMCParams[0:1][image_in]:  2.0 31.0

* image_in:  245  InMCMCParams[0:1][image_in]:  20.0 8.0

* image_in:  246  InMCMCParams[0:1][image_in]:  6.0 5.0

* image_in:  247  InMCMCParams[0:1][image_in]:  8.0 26.0

* image_in:  248  InMCMCParams[0:1][image_in]:  26.0 15.0

* image_in:  249  InMCMCParams[0:1][image_in]:  4.0 29.0

* image_in:  250  InMCMCParams[0:1][image_in]:  2.0 7.0

* image_in:  251  InMCMCParams[0:1][image_in]:  14.0 19.0

* image_in:  252  InMCMCParams[0:1][image_in]:  23.0 4.0

* image_in:  253  InMCMCParams[0:1][image_in]:  12.0 26.0

* image_in:  254  InMCMCParams[0:1][image_in]:  23.0 26.0

* image_in:  255  InMCMCParams[0:1][image_in]:  12.0 28.0

* image_in:  256  InMCMCParams[0:1][image_in]:  28.0 31.0

* image_in:  257  InMCMCParams[0:1][image_in]:  26.0 0.0

* image_in:  258  InMCMCParams[0:1][image_in]:  13.0 1.0

* image_in:  259  InMCMCParams[0:1][image_in]:  1.0 8.0

* image_in:  260  InMCMCParams[0:1][image_in]:  3.0 21.0

* image_in:  261  InMCMCParams[0:1][image_in]:  16.0 4.0

* image_in:  262  InMCMCParams[0:1][image_in]:  21.0 3.0

* image_in:  263  InMCMCParams[0:1][image_in]:  22.0 18.0

* image_in:  264  InMCMCParams[0:1][image_in]:  8.0 19.0

* image_in:  265  InMCMCParams[0:1][image_in]:  23.0 30.0

* image_in:  266  InMCMCParams[0:1][image_in]:  7.0 29.0

* image_in:  267  InMCMCParams[0:1][image_in]:  20.0 24.0

* image_in:  268  InMCMCParams[0:1][image_in]:  30.0 9.0

* image_in:  269  InMCMCParams[0:1][image_in]:  18.0 17.0

* image_in:  270  InMCMCParams[0:1][image_in]:  9.0 31.0

* image_in:  271  InMCMCParams[0:1][image_in]:  25.0 14.0

* image_in:  272  InMCMCParams[0:1][image_in]:  1.0 17.0

* image_in:  273  InMCMCParams[0:1][image_in]:  5.0 5.0

* image_in:  274  InMCMCParams[0:1][image_in]:  31.0 24.0

* image_in:  275  InMCMCParams[0:1][image_in]:  17.0 19.0

* image_in:  276  InMCMCParams[0:1][image_in]:  25.0 11.0

* image_in:  277  InMCMCParams[0:1][image_in]:  20.0 1.0

* image_in:  278  InMCMCParams[0:1][image_in]:  12.0 7.0

* image_in:  279  InMCMCParams[0:1][image_in]:  1.0 19.0

* image_in:  280  InMCMCParams[0:1][image_in]:  16.0 13.0

* image_in:  281  InMCMCParams[0:1][image_in]:  6.0 25.0

* image_in:  282  InMCMCParams[0:1][image_in]:  19.0 25.0

* image_in:  283  InMCMCParams[0:1][image_in]:  2.0 19.0

* image_in:  284  InMCMCParams[0:1][image_in]:  7.0 1.0

* image_in:  285  InMCMCParams[0:1][image_in]:  19.0 21.0

* image_in:  286  InMCMCParams[0:1][image_in]:  27.0 5.0

* image_in:  287  InMCMCParams[0:1][image_in]:  1.0 9.0

* image_in:  288  InMCMCParams[0:1][image_in]:  21.0 9.0

* image_in:  289  InMCMCParams[0:1][image_in]:  11.0 6.0

* image_in:  290  InMCMCParams[0:1][image_in]:  26.0 14.0

* image_in:  291  InMCMCParams[0:1][image_in]:  25.0 28.0

* image_in:  292  InMCMCParams[0:1][image_in]:  12.0 0.0

* image_in:  293  InMCMCParams[0:1][image_in]:  9.0 3.0

* image_in:  294  InMCMCParams[0:1][image_in]:  12.0 7.0

* image_in:  295  InMCMCParams[0:1][image_in]:  24.0 11.0

* image_in:  296  InMCMCParams[0:1][image_in]:  18.0 30.0

* image_in:  297  InMCMCParams[0:1][image_in]:  26.0 31.0

* image_in:  298  InMCMCParams[0:1][image_in]:  24.0 18.0

* image_in:  299  InMCMCParams[0:1][image_in]:  14.0 4.0

* image_in:  300  InMCMCParams[0:1][image_in]:  26.0 31.0

* image_in:  301  InMCMCParams[0:1][image_in]:  31.0 18.0

* image_in:  302  InMCMCParams[0:1][image_in]:  4.0 18.0

* image_in:  303  InMCMCParams[0:1][image_in]:  3.0 14.0

* image_in:  304  InMCMCParams[0:1][image_in]:  29.0 24.0

* image_in:  305  InMCMCParams[0:1][image_in]:  25.0 6.0

* image_in:  306  InMCMCParams[0:1][image_in]:  19.0 17.0

* image_in:  307  InMCMCParams[0:1][image_in]:  13.0 12.0

* image_in:  308  InMCMCParams[0:1][image_in]:  31.0 25.0

* image_in:  309  InMCMCParams[0:1][image_in]:  8.0 0.0

* image_in:  310  InMCMCParams[0:1][image_in]:  19.0 13.0

* image_in:  311  InMCMCParams[0:1][image_in]:  9.0 14.0

* image_in:  312  InMCMCParams[0:1][image_in]:  2.0 14.0

* image_in:  313  InMCMCParams[0:1][image_in]:  10.0 12.0

* image_in:  314  InMCMCParams[0:1][image_in]:  5.0 13.0

* image_in:  315  InMCMCParams[0:1][image_in]:  4.0 17.0

* image_in:  316  InMCMCParams[0:1][image_in]:  29.0 23.0

* image_in:  317  InMCMCParams[0:1][image_in]:  13.0 5.0

* image_in:  318  InMCMCParams[0:1][image_in]:  22.0 2.0

* image_in:  319  InMCMCParams[0:1][image_in]:  6.0 28.0

* image_in:  320  InMCMCParams[0:1][image_in]:  19.0 6.0

* image_in:  321  InMCMCParams[0:1][image_in]:  16.0 19.0

* image_in:  322  InMCMCParams[0:1][image_in]:  4.0 25.0

* image_in:  323  InMCMCParams[0:1][image_in]:  15.0 1.0

* image_in:  324  InMCMCParams[0:1][image_in]:  29.0 29.0

* image_in:  325  InMCMCParams[0:1][image_in]:  19.0 21.0

* image_in:  326  InMCMCParams[0:1][image_in]:  18.0 12.0

* image_in:  327  InMCMCParams[0:1][image_in]:  2.0 5.0

* image_in:  328  InMCMCParams[0:1][image_in]:  28.0 22.0

* image_in:  329  InMCMCParams[0:1][image_in]:  28.0 9.0

* image_in:  330  InMCMCParams[0:1][image_in]:  26.0 4.0

* image_in:  331  InMCMCParams[0:1][image_in]:  28.0 3.0

* image_in:  332  InMCMCParams[0:1][image_in]:  13.0 7.0

* image_in:  333  InMCMCParams[0:1][image_in]:  9.0 21.0

* image_in:  334  InMCMCParams[0:1][image_in]:  11.0 19.0

* image_in:  335  InMCMCParams[0:1][image_in]:  8.0 2.0

* image_in:  336  InMCMCParams[0:1][image_in]:  27.0 24.0

* image_in:  337  InMCMCParams[0:1][image_in]:  5.0 0.0

* image_in:  338  InMCMCParams[0:1][image_in]:  24.0 4.0

* image_in:  339  InMCMCParams[0:1][image_in]:  9.0 30.0

* image_in:  340  InMCMCParams[0:1][image_in]:  18.0 22.0

* image_in:  341  InMCMCParams[0:1][image_in]:  17.0 29.0

* image_in:  342  InMCMCParams[0:1][image_in]:  28.0 3.0

* image_in:  343  InMCMCParams[0:1][image_in]:  0.0 23.0

* image_in:  344  InMCMCParams[0:1][image_in]:  20.0 30.0

* image_in:  345  InMCMCParams[0:1][image_in]:  25.0 12.0

* image_in:  346  InMCMCParams[0:1][image_in]:  8.0 9.0

* image_in:  347  InMCMCParams[0:1][image_in]:  14.0 6.0

* image_in:  348  InMCMCParams[0:1][image_in]:  17.0 28.0

* image_in:  349  InMCMCParams[0:1][image_in]:  22.0 18.0

* image_in:  350  InMCMCParams[0:1][image_in]:  11.0 28.0

* image_in:  351  InMCMCParams[0:1][image_in]:  25.0 7.0

* image_in:  352  InMCMCParams[0:1][image_in]:  24.0 18.0

* image_in:  353  InMCMCParams[0:1][image_in]:  29.0 26.0

* image_in:  354  InMCMCParams[0:1][image_in]:  15.0 10.0

* image_in:  355  InMCMCParams[0:1][image_in]:  1.0 21.0

* image_in:  356  InMCMCParams[0:1][image_in]:  31.0 26.0

* image_in:  357  InMCMCParams[0:1][image_in]:  29.0 1.0

* image_in:  358  InMCMCParams[0:1][image_in]:  20.0 29.0

* image_in:  359  InMCMCParams[0:1][image_in]:  17.0 24.0

* image_in:  360  InMCMCParams[0:1][image_in]:  23.0 2.0

* image_in:  361  InMCMCParams[0:1][image_in]:  26.0 9.0

* image_in:  362  InMCMCParams[0:1][image_in]:  19.0 24.0

* image_in:  363  InMCMCParams[0:1][image_in]:  14.0 0.0

* image_in:  364  InMCMCParams[0:1][image_in]:  6.0 1.0

* image_in:  365  InMCMCParams[0:1][image_in]:  24.0 6.0

* image_in:  366  InMCMCParams[0:1][image_in]:  2.0 22.0

* image_in:  367  InMCMCParams[0:1][image_in]:  25.0 21.0

* image_in:  368  InMCMCParams[0:1][image_in]:  8.0 9.0

* image_in:  369  InMCMCParams[0:1][image_in]:  18.0 20.0

* image_in:  370  InMCMCParams[0:1][image_in]:  14.0 14.0

* image_in:  371  InMCMCParams[0:1][image_in]:  0.0 6.0

* image_in:  372  InMCMCParams[0:1][image_in]:  10.0 31.0

* image_in:  373  InMCMCParams[0:1][image_in]:  6.0 13.0

* image_in:  374  InMCMCParams[0:1][image_in]:  12.0 28.0

* image_in:  375  InMCMCParams[0:1][image_in]:  14.0 24.0

* image_in:  376  InMCMCParams[0:1][image_in]:  31.0 2.0

* image_in:  377  InMCMCParams[0:1][image_in]:  13.0 24.0

* image_in:  378  InMCMCParams[0:1][image_in]:  18.0 31.0

* image_in:  379  InMCMCParams[0:1][image_in]:  26.0 31.0

* image_in:  380  InMCMCParams[0:1][image_in]:  22.0 26.0

* image_in:  381  InMCMCParams[0:1][image_in]:  13.0 15.0

* image_in:  382  InMCMCParams[0:1][image_in]:  15.0 4.0

* image_in:  383  InMCMCParams[0:1][image_in]:  28.0 10.0

* image_in:  384  InMCMCParams[0:1][image_in]:  29.0 14.0

* image_in:  385  InMCMCParams[0:1][image_in]:  23.0 31.0

* image_in:  386  InMCMCParams[0:1][image_in]:  30.0 20.0

* image_in:  387  InMCMCParams[0:1][image_in]:  17.0 14.0

* image_in:  388  InMCMCParams[0:1][image_in]:  26.0 8.0

* image_in:  389  InMCMCParams[0:1][image_in]:  12.0 5.0

* image_in:  390  InMCMCParams[0:1][image_in]:  26.0 24.0

* image_in:  391  InMCMCParams[0:1][image_in]:  6.0 6.0

* image_in:  392  InMCMCParams[0:1][image_in]:  19.0 1.0

* image_in:  393  InMCMCParams[0:1][image_in]:  31.0 23.0

* image_in:  394  InMCMCParams[0:1][image_in]:  27.0 18.0

* image_in:  395  InMCMCParams[0:1][image_in]:  23.0 19.0

* image_in:  396  InMCMCParams[0:1][image_in]:  12.0 31.0

* image_in:  397  InMCMCParams[0:1][image_in]:  31.0 2.0

* image_in:  398  InMCMCParams[0:1][image_in]:  16.0 6.0

* image_in:  399  InMCMCParams[0:1][image_in]:  9.0 13.0

* image_in:  400  InMCMCParams[0:1][image_in]:  25.0 30.0

* image_in:  401  InMCMCParams[0:1][image_in]:  6.0 26.0

* image_in:  402  InMCMCParams[0:1][image_in]:  9.0 14.0

* image_in:  403  InMCMCParams[0:1][image_in]:  26.0 13.0

* image_in:  404  InMCMCParams[0:1][image_in]:  21.0 11.0

* image_in:  405  InMCMCParams[0:1][image_in]:  24.0 9.0

* image_in:  406  InMCMCParams[0:1][image_in]:  8.0 22.0

* image_in:  407  InMCMCParams[0:1][image_in]:  3.0 7.0

* image_in:  408  InMCMCParams[0:1][image_in]:  27.0 21.0

* image_in:  409  InMCMCParams[0:1][image_in]:  14.0 3.0

* image_in:  410  InMCMCParams[0:1][image_in]:  17.0 4.0

* image_in:  411  InMCMCParams[0:1][image_in]:  19.0 14.0

* image_in:  412  InMCMCParams[0:1][image_in]:  29.0 19.0

* image_in:  413  InMCMCParams[0:1][image_in]:  27.0 16.0

* image_in:  414  InMCMCParams[0:1][image_in]:  6.0 1.0

* image_in:  415  InMCMCParams[0:1][image_in]:  4.0 26.0

* image_in:  416  InMCMCParams[0:1][image_in]:  7.0 3.0
